class,order,family,genus,species,complex,CH_list_genus,CH_list_species
Insecta,Ephemeroptera,Ameletidae,Ameletus,Ameletus inopinatus,FALSE,Ameletus,Ameletus inopinatus
Insecta,Ephemeroptera,Ameletidae,Metreletus,Metreletus balcanicus,FALSE,Metreletus,Metreletus balcanicus
Insecta,Ephemeroptera,Baetidae,Acentrella,Acentrella sinaica,FALSE,Acentrella,Acentrella sinaica
Insecta,Ephemeroptera,Baetidae,Alainites,Alainites muticus,FALSE,Alainites,Alainites muticus
Insecta,Ephemeroptera,Baetidae,Baetis,Baetis alpinus,FALSE,Baetis,Baetis alpinus
Insecta,Ephemeroptera,Baetidae,Baetis,Baetis buceratus,FALSE,Baetis,Baetis buceratus
Insecta,Ephemeroptera,Baetidae,Baetis,Baetis fuscatus,TRUE,Baetis,Baetis fuscatus complex
Insecta,Ephemeroptera,Baetidae,Baetis,Baetis scambus,TRUE,Baetis,Baetis fuscatus complex
Insecta,Ephemeroptera,Baetidae,Baetis,Baetis liebenauae,FALSE,Baetis,Baetis liebenauae
Insecta,Ephemeroptera,Baetidae,Baetis,Baetis lutheri,TRUE,Baetis,Baetis lutheri complex
Insecta,Ephemeroptera,Baetidae,Baetis,Baetis vardarensis,TRUE,Baetis,Baetis lutheri complex
Insecta,Ephemeroptera,Baetidae,Baetis,Baetis melanonyx,FALSE,Baetis,Baetis melanonyx
Insecta,Ephemeroptera,Baetidae,Baetis,Baetis nubecularis,FALSE,Baetis,Baetis nubecularis
Insecta,Ephemeroptera,Baetidae,Baetis,Baetis pentaphlebodes,FALSE,Baetis,Baetis pentaphlebodes
Insecta,Ephemeroptera,Baetidae,Baetis,Baetis rhodani,FALSE,Baetis,Baetis rhodani
Insecta,Ephemeroptera,Baetidae,Baetis,Baetis vernus,FALSE,Baetis,Baetis vernus
Insecta,Ephemeroptera,Baetidae,Centroptilum,Centroptilum luteolum,FALSE,Centroptilum,Centroptilum luteolum
Insecta,Ephemeroptera,Baetidae,Cloeon,Cloeon dipterum,FALSE,Cloeon,Cloeon dipterum
Insecta,Ephemeroptera,Baetidae,Cloeon,Cloeon simile,FALSE,Cloeon,Cloeon simile
Insecta,Ephemeroptera,Baetidae,Nigrobaetis,Nigrobaetis niger,FALSE,Nigrobaetis,Nigrobaetis niger
Insecta,Ephemeroptera,Baetidae,Procloeon,Procloeon bifidum,FALSE,Procloeon,Procloeon bifidum
Insecta,Ephemeroptera,Baetidae,Procloeon,Procloeon pennulatum,FALSE,Procloeon,Procloeon pennulatum
Insecta,Ephemeroptera,Caenidae,Caenis,Caenis beskidensis,FALSE,Caenis,Caenis beskidensis
Insecta,Ephemeroptera,Caenidae,Caenis,Caenis horaria,FALSE,Caenis,Caenis horaria
Insecta,Ephemeroptera,Caenidae,Caenis,Caenis lactea,FALSE,Caenis,Caenis lactea
Insecta,Ephemeroptera,Caenidae,Caenis,Caenis luctuosa,FALSE,Caenis,Caenis luctuosa
Insecta,Ephemeroptera,Caenidae,Caenis,Caenis macrura,FALSE,Caenis,Caenis macrura
Insecta,Ephemeroptera,Caenidae,Caenis,Caenis pusilla,FALSE,Caenis,Caenis pusilla
Insecta,Ephemeroptera,Caenidae,Caenis,Caenis rivulorum,FALSE,Caenis,Caenis rivulorum
Insecta,Ephemeroptera,Caenidae,Caenis,Caenis robusta,FALSE,Caenis,Caenis robusta
Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella mucronata,FALSE,Ephemerella,Ephemerella mucronata
Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella notata,FALSE,Ephemerella,Ephemerella notata
Insecta,Ephemeroptera,Ephemerellidae,Serratella,Serratella ignita,FALSE,Serratella,Serratella ignita
Insecta,Ephemeroptera,Ephemerellidae,Torleya,Torleya major,FALSE,Torleya,Torleya major
Insecta,Ephemeroptera,Ephemeridae,Ephemera,Ephemera danica,FALSE,Ephemera,Ephemera danica
Insecta,Ephemeroptera,Ephemeridae,Ephemera,Ephemera glaucops,FALSE,Ephemera,Ephemera glaucops
Insecta,Ephemeroptera,Ephemeridae,Ephemera,Ephemera lineata,FALSE,Ephemera,Ephemera lineata
Insecta,Ephemeroptera,Ephemeridae,Ephemera,Ephemera vulgata,FALSE,Ephemera,Ephemera vulgata
Insecta,Ephemeroptera,Heptageniidae,Ecdyonurus,Ecdyonurus helveticus,TRUE,Ecdyonurus,Ecdyonurus helveticus complex
