group_1,group_2,family,CH_list
PORIFERA,NA,NA,PORIFERA
CNIDARIA,NA,NA,CNIDARIA
BRYOZOA,NA,NA,BRYOZOA
PLATYHELMINTHES,NA,Dendrocoelidae,Dendrocoelidae
PLATYHELMINTHES,NA,Dugesiidae,Dugesiidae
PLATYHELMINTHES,NA,Planariidae,Planariidae
NEMATHELMINTHES,NA,NA,NEMATHELMINTHES
ANNELIDA,Hirudinea,Erpobdellidae,Erpobdellidae
ANNELIDA,Hirudinea,Glossiphoniidae,Glossiphoniidae
ANNELIDA,Hirudinea,Hirudidae,Hirudidae
ANNELIDA,Hirudinea,Piscicolidae,Piscicolidae
ANNELIDA,Oligochaeta,NA,Oligochaeta
MOLLUSCA,Gastropoda,Acroloxidae,Acroloxidae
MOLLUSCA,Gastropoda,Ancylidae,Ancylidae
MOLLUSCA,Gastropoda,Bithyniidae,Bithyniidae
MOLLUSCA,Gastropoda,Ferrissiidae,Ferrissiidae
MOLLUSCA,Gastropoda,Hydrobiidae,Hydrobiidae
MOLLUSCA,Gastropoda,Lymnaeidae,Lymnaeidae
MOLLUSCA,Gastropoda,Neritidae,Neritidae
MOLLUSCA,Gastropoda,Physidae,Physidae
MOLLUSCA,Gastropoda,Planorbidae,Planorbidae
MOLLUSCA,Gastropoda,Valvatidae,Valvatidae
MOLLUSCA,Gastropoda,Viviparidae,Viviparidae
MOLLUSCA,Bivalvia,Corbiculidae,Corbiculidae
MOLLUSCA,Bivalvia,Dreissenidae,Dreissenidae
MOLLUSCA,Bivalvia,Sphaeriidae,Sphaeriidae
MOLLUSCA,Bivalvia,Unionidae,Unionidae
ARTHROPODA,Arachnida,Hydracarina,Hydracarina
ARTHROPODA,Branchiopoda,NA,Branchiopoda
ARTHROPODA,Amphipoda,Corophiidae,Corophiidae
ARTHROPODA,Amphipoda,Gammaridae,Gammaridae
ARTHROPODA,Amphipoda,Niphargidae,Niphargidae
ARTHROPODA,Isopoda,Asellidae,Asellidae
ARTHROPODA,Isopoda,Janiridae,Janiridae
ARTHROPODA,Mysida,Mysidae,Mysidae
ARTHROPODA,Decapoda,Astacidae,Astacidae
ARTHROPODA,Decapoda,Cambaridae,Cambaridae
ARTHROPODA,Ephemeroptera,Ameletidae,Ameletidae
ARTHROPODA,Ephemeroptera,Baetidae,Baetidae
ARTHROPODA,Ephemeroptera,Caenidae,Caenidae
ARTHROPODA,Ephemeroptera,Ephemerellidae,Ephemerellidae
ARTHROPODA,Ephemeroptera,Ephemeridae,Ephemeridae
ARTHROPODA,Ephemeroptera,Heptageniidae,Heptageniidae
ARTHROPODA,Ephemeroptera,Leptophlebiidae,Leptophlebiidae
ARTHROPODA,Ephemeroptera,Oligoneuriidae,Oligoneuriidae
ARTHROPODA,Ephemeroptera,Polymitarcyidae,Polymitarcyidae
ARTHROPODA,Ephemeroptera,Potamanthidae,Potamanthidae
ARTHROPODA,Ephemeroptera,Siphlonuridae,Siphlonuridae
ARTHROPODA,Odonata,Aeshnidae,Aeshnidae
ARTHROPODA,Odonata,Calopterygidae,Calopterygidae
ARTHROPODA,Odonata,Coenagrionidae,Coenagrionidae
ARTHROPODA,Odonata,Cordulegastridae,Cordulegastridae
ARTHROPODA,Odonata,Corduliidae,Corduliidae
ARTHROPODA,Odonata,Gomphidae,Gomphidae
ARTHROPODA,Odonata,Lestidae,Lestidae
ARTHROPODA,Odonata,Libellulidae,Libellulidae
ARTHROPODA,Odonata,Platycnemididae,Platycnemididae
ARTHROPODA,Plecoptera,Capniidae,Capniidae
ARTHROPODA,Plecoptera,Chloroperlidae,Chloroperlidae
ARTHROPODA,Plecoptera,Leuctridae,Leuctridae
ARTHROPODA,Plecoptera,Nemouridae,Nemouridae
ARTHROPODA,Plecoptera,Perlidae,Perlidae
ARTHROPODA,Plecoptera,Perlodidae,Perlodidae
ARTHROPODA,Plecoptera,Taeniopterygidae,Taeniopterygidae
ARTHROPODA,Heteroptera,Aphelocheiridae,Aphelocheiridae
ARTHROPODA,Heteroptera,Corixidae,Corixidae
ARTHROPODA,Heteroptera,Gerridae,Gerridae
ARTHROPODA,Heteroptera,Hebridae,Hebridae
ARTHROPODA,Heteroptera,Hydrometridae,Hydrometridae
ARTHROPODA,Heteroptera,Mesoveliidae,Mesoveliidae
ARTHROPODA,Heteroptera,Naucoridae,Naucoridae
ARTHROPODA,Heteroptera,Nepidae,Nepidae
ARTHROPODA,Heteroptera,Notonectidae,Notonectidae
ARTHROPODA,Heteroptera,Pleidae,Pleidae
ARTHROPODA,Heteroptera,Veliidae,Veliidae
ARTHROPODA,Megaloptera,Sialidae,Sialidae
ARTHROPODA,Neuroptera,Osmylidae,Osmylidae
ARTHROPODA,Neuroptera,Sisyridae,Sisyridae
ARTHROPODA,Coleoptera,Curculionidae,Curculionidae
ARTHROPODA,Coleoptera,Chrysomelidae,Chrysomelidae
ARTHROPODA,Coleoptera,Dryopidae,Dryopidae
ARTHROPODA,Coleoptera,Dytiscidae,Dytiscidae
ARTHROPODA,Coleoptera,Elmidae,Elmidae
ARTHROPODA,Coleoptera,Gyrinidae,Gyrinidae
ARTHROPODA,Coleoptera,Haliplidae,Haliplidae
ARTHROPODA,Coleoptera,Helophoridae,Helophoridae
ARTHROPODA,Coleoptera,Hydraenidae,Hydraenidae
ARTHROPODA,Coleoptera,Hydrochidae,Hydrochidae
ARTHROPODA,Coleoptera,Hydrophilidae,Hydrophilidae
ARTHROPODA,Coleoptera,Hydroscaphidae,Hydroscaphidae
ARTHROPODA,Coleoptera,Hygrobiidae,Hygrobiidae
ARTHROPODA,Coleoptera,Noteridae,Noteridae
ARTHROPODA,Coleoptera,Psephenidae,Psephenidae
