seq_file,seq_root_file,site_code
AaDS_S36_L001_R1_001.fastq.gz,AaDS,AAD_D
AaDS_S36_L001_R2_001.fastq.gz,AaDS,AAD_D
AaUS1_S72_L001_R1_001.fastq.gz,AaUS1,AAD_U_1
AaUS1_S72_L001_R2_001.fastq.gz,AaUS1,AAD_U_1
AaUS2_S46_L001_R1_001.fastq.gz,AaUS2,AAD_U_2
AaUS2_S46_L001_R2_001.fastq.gz,AaUS2,AAD_U_2
BiDS_S47_L001_R1_001.fastq.gz,BiDS,BIR_D
BiDS_S47_L001_R2_001.fastq.gz,BiDS,BIR_D
BiUS1_S50_L001_R1_001.fastq.gz,BiUS1,BIR_U_1
BiUS1_S50_L001_R2_001.fastq.gz,BiUS1,BIR_U_1
BiUS2_S88_L001_R1_001.fastq.gz,BiUS2,BIR_U_2
BiUS2_S88_L001_R2_001.fastq.gz,BiUS2,BIR_U_2
BuDS_S25_L001_R1_001.fastq.gz,BuDS,BUT_D
BuDS_S25_L001_R2_001.fastq.gz,BuDS,BUT_D
BuUS1_S45_L001_R1_001.fastq.gz,BuUS1,BUT_U_1
BuUS1_S45_L001_R2_001.fastq.gz,BuUS1,BUT_U_1
BuUS2_S61_L001_R1_001.fastq.gz,BuUS2,BUT_U_2
BuUS2_S61_L001_R2_001.fastq.gz,BuUS2,BUT_U_2
CoDS_S44_L001_R1_001.fastq.gz,CoDS,COL_D
CoDS_S44_L001_R2_001.fastq.gz,CoDS,COL_D
CoUS1_S62_L001_R1_001.fastq.gz,CoUS1,COL_U_1
CoUS1_S62_L001_R2_001.fastq.gz,CoUS1,COL_U_1
CoUS2_S2_L001_R1_001.fastq.gz,CoUS2,COL_U_2
CoUS2_S2_L001_R2_001.fastq.gz,CoUS2,COL_U_2
DuDS_S20_L001_R1_001.fastq.gz,DuDS,DUE_D
DuDS_S20_L001_R2_001.fastq.gz,DuDS,DUE_D
DuUS1_S71_L001_R1_001.fastq.gz,DuUS1,DUE_U_1
DuUS1_S71_L001_R2_001.fastq.gz,DuUS1,DUE_U_1
DuUS2_S85_L001_R1_001.fastq.gz,DuUS2,DUE_U_2
DuUS2_S85_L001_R2_001.fastq.gz,DuUS2,DUE_U_2
EkDS_S63_L001_R1_001.fastq.gz,EkDS,ELL_D
EkDS_S63_L001_R2_001.fastq.gz,EkDS,ELL_D
EkUS1_S7_L001_R1_001.fastq.gz,EkUS1,ELL_U_1
EkUS1_S7_L001_R2_001.fastq.gz,EkUS1,ELL_U_1
EkUS2_S58_L001_R1_001.fastq.gz,EkUS2,ELL_U_2
EkUS2_S58_L001_R2_001.fastq.gz,EkUS2,ELL_U_2
ElgDS_S35_L001_R1_001.fastq.gz,ElgDS,ELG_D
ElgDS_S35_L001_R2_001.fastq.gz,ElgDS,ELG_D
ElgUS1_S22_L001_R1_001.fastq.gz,ElgUS1,ELG_U_1
ElgUS1_S22_L001_R2_001.fastq.gz,ElgUS1,ELG_U_1
ElgUS2_S33_L001_R1_001.fastq.gz,ElgUS2,ELG_U_2
ElgUS2_S33_L001_R2_001.fastq.gz,ElgUS2,ELG_U_2
Ex-04-08A_S89_L001_R1_001.fastq.gz,Ex-04-08A,EX_0408A
Ex-04-08A_S89_L001_R2_001.fastq.gz,Ex-04-08A,EX_0408A
Ex-06-08A_S76_L001_R1_001.fastq.gz,Ex-06-08A,EX_0608A
Ex-06-08A_S76_L001_R2_001.fastq.gz,Ex-06-08A,EX_0608A
Ex-06-08M_S43_L001_R1_001.fastq.gz,Ex-06-08M,EX_0608M
Ex-06-08M_S43_L001_R2_001.fastq.gz,Ex-06-08M,EX_0608M
Ex-10-08A_S28_L001_R1_001.fastq.gz,Ex-10-08A,EX_1008A
Ex-10-08A_S28_L001_R2_001.fastq.gz,Ex-10-08A,EX_1008A
Ex-10-08M_S81_L001_R1_001.fastq.gz,Ex-10-08M,EX_1008M
Ex-10-08M_S81_L001_R2_001.fastq.gz,Ex-10-08M,EX_1008M
Ex-23-07_S60_L001_R1_001.fastq.gz,Ex-23-07,EX_2307
Ex-23-07_S60_L001_R2_001.fastq.gz,Ex-23-07,EX_2307
Ex-28-07M_S73_L001_R1_001.fastq.gz,Ex-28-07M,EX_2807M
Ex-28-07M_S73_L001_R2_001.fastq.gz,Ex-28-07M,EX_2807M
Ex-30-07A_S17_L001_R1_001.fastq.gz,Ex-30-07A,EX_3007A
Ex-30-07A_S17_L001_R2_001.fastq.gz,Ex-30-07A,EX_3007A
Filter-07-08_S54_L001_R1_001.fastq.gz,Filter-07-08,FILTER_0708
Filter-07-08_S54_L001_R2_001.fastq.gz,Filter-07-08,FILTER_0708
Filter-09-07_S6_L001_R1_001.fastq.gz,Filter-09-07,FILTER_0907
Filter-09-07_S6_L001_R2_001.fastq.gz,Filter-09-07,FILTER_0907
Filter-10-07_S39_L001_R1_001.fastq.gz,Filter-10-07,FILTER_1007
Filter-10-07_S39_L001_R2_001.fastq.gz,Filter-10-07,FILTER_1007
Filter-12-07_S26_L001_R1_001.fastq.gz,Filter-12-07,FILTER_1207
Filter-12-07_S26_L001_R2_001.fastq.gz,Filter-12-07,FILTER_1207
Filter-14-07_S56_L001_R1_001.fastq.gz,Filter-14-07,FILTER_1407
Filter-14-07_S56_L001_R2_001.fastq.gz,Filter-14-07,FILTER_1407
Filter-16-07_S78_L001_R1_001.fastq.gz,Filter-16-07,FILTER_1607
Filter-16-07_S78_L001_R2_001.fastq.gz,Filter-16-07,FILTER_1607
Filter-17-07_S86_L001_R1_001.fastq.gz,Filter-17-07,FILTER_1707
Filter-17-07_S86_L001_R2_001.fastq.gz,Filter-17-07,FILTER_1707
