seq_file,seq_root_file,site_code
AaARA_S66_L001_R1_001.fastq.gz,AaARA,AAD_E
AaARA_S66_L001_R2_001.fastq.gz,AaARA,AAD_E
AaDS_S54_L001_R1_001.fastq.gz,AaDS,AAD_D
AaDS_S54_L001_R2_001.fastq.gz,AaDS,AAD_D
AaUS1_S42_L001_R1_001.fastq.gz,AaUS1,AAD_U_1
AaUS1_S42_L001_R2_001.fastq.gz,AaUS1,AAD_U_1
AaUS2_S30_L001_R1_001.fastq.gz,AaUS2,AAD_U_2
AaUS2_S30_L001_R2_001.fastq.gz,AaUS2,AAD_U_2
BiARA_S24_L001_R1_001.fastq.gz,BiARA,BIR_E
BiARA_S24_L001_R2_001.fastq.gz,BiARA,BIR_E
BiDS_S12_L001_R1_001.fastq.gz,BiDS,BIR_D
BiDS_S12_L001_R2_001.fastq.gz,BiDS,BIR_D
BiUS1_S95_L001_R1_001.fastq.gz,BiUS1,BIR_U_1
BiUS1_S95_L001_R2_001.fastq.gz,BiUS1,BIR_U_1
BiUS2_S83_L001_R1_001.fastq.gz,BiUS2,BIR_U_2
BiUS2_S83_L001_R2_001.fastq.gz,BiUS2,BIR_U_2
BuARA_S25_L001_R1_001.fastq.gz,BuARA,BUT_E
BuARA_S25_L001_R2_001.fastq.gz,BuARA,BUT_E
BuDS_S13_L001_R1_001.fastq.gz,BuDS,BUT_D
BuDS_S13_L001_R2_001.fastq.gz,BuDS,BUT_D
BuUS1_S1_L001_R1_001.fastq.gz,BuUS1,BUT_U_1
BuUS1_S1_L001_R2_001.fastq.gz,BuUS1,BUT_U_1
CoARA_S73_L001_R1_001.fastq.gz,CoARA,COL_E
CoARA_S73_L001_R2_001.fastq.gz,CoARA,COL_E
CoDS_S61_L001_R1_001.fastq.gz,CoDS,COL_D
CoDS_S61_L001_R2_001.fastq.gz,CoDS,COL_D
CoUS1_S49_L001_R1_001.fastq.gz,CoUS1,COL_U_1
CoUS1_S49_L001_R2_001.fastq.gz,CoUS1,COL_U_1
CoUS2_S37_L001_R1_001.fastq.gz,CoUS2,COL_U_2
CoUS2_S37_L001_R2_001.fastq.gz,CoUS2,COL_U_2
DuARA_S26_L001_R1_001.fastq.gz,DuARA,DUE_E
DuARA_S26_L001_R2_001.fastq.gz,DuARA,DUE_E
DuDS_S14_L001_R1_001.fastq.gz,DuDS,DUE_D
DuDS_S14_L001_R2_001.fastq.gz,DuDS,DUE_D
DuUS1_S2_L001_R1_001.fastq.gz,DuUS1,DUE_U_1
DuUS1_S2_L001_R2_001.fastq.gz,DuUS1,DUE_U_1
DuUS2_S85_L001_R1_001.fastq.gz,DuUS2,DUE_U_2
DuUS2_S85_L001_R2_001.fastq.gz,DuUS2,DUE_U_2
