"Sample","Raw","Cutadapt","Filtered","Merged","Nonchim"
"AaARA",104098,101549,94404,93565,93561
"AaDS",81830,79417,73295,71348,71091
"AaUS1",70065,68460,63000,61016,60809
"AaUS2",106019,103656,93705,90500,88812
"BiARA",86220,83611,69731,65376,60652
"BiDS",123537,119273,109543,105149,96980
"BiUS1",102467,98293,91932,90078,86138
"BiUS2",70855,68102,63207,62142,60057
"BuARA",77562,74799,67170,64957,63343
"BuDS",115540,111642,104771,101962,99827
"BuUS1",30905,29527,27704,24327,23648
"CoARA",99191,96586,85718,82462,70148
"CoDS",134957,130369,119546,111777,109767
"CoUS1",118763,114664,107109,101296,99660
"CoUS2",90065,87231,79889,69373,68704
"DuARA",75404,73168,66480,62336,61049
"DuDS",69168,67510,62842,61640,61473
"DuUS1",85406,83599,77494,75292,75167
"DuUS2",95733,93364,86174,82717,74965
"EkARA",131939,126301,113391,103617,91299
"EkDS",123730,119294,109839,104860,102143
"EkUS1",118696,116023,104525,99429,98009
"EkUS2",117717,115086,102645,94554,87599
"ElgARA",119219,115125,104417,97808,94786
"ElgDS",84029,79928,74224,71482,70993
"ElgUS1",140103,135552,126643,123727,121094
"ElgUS2",113978,110453,103497,101393,99230
"HeARA",80536,78421,70919,68209,65164
"HeDS",94390,91747,84561,81389,81026
"HeUS1",79088,76898,71883,70691,70566
"HeUS2",38500,37470,33721,31102,30992
"HocARA",112527,109713,101047,96625,96254
"HocDS",111028,108489,100318,96821,96653
"HocUS1",77213,75076,68407,64131,63260
"HorARA",150648,146038,131304,128181,125894
"HorDS",105288,102269,94064,89828,87420
"HorUS1",104515,101689,93988,90292,87653
"KeARA",87751,85313,78133,75247,73081
"KeDS",99842,97494,88736,83827,83084
"KeUS1",153023,148922,136143,130417,129656
"KeUS2",130466,126801,118821,115883,115458
"KnARA",107546,104518,94225,84918,81394
"KnDS",57288,55533,51494,49181,47711
"KnUS1",29679,28615,26586,25932,25211
"KnUS2",334,151,40,8,8
"MaARA",146905,140321,128651,124603,110172
"MaDS",116769,112006,105023,102385,99711
"MaUS1",98541,95328,86695,83929,82729
"MaUS2",152038,147289,136438,132881,131962
"MeARA",132245,128616,114834,112758,111670
"MeUS1",141142,138172,127626,126567,126463
"MuARA",95438,92739,81659,78652,75884
"MuDS",90853,88445,80817,76777,76126
"MuUS1",121400,117722,107314,103882,103393
"MuUS2",80028,77265,70841,67738,66123
"Neg-0907",113231,110551,99296,92861,92238
"Neg-1007",82519,80601,73500,70715,70663
"Neg-1207",111672,109087,97779,89229,89188
"Neg-2307",112342,109887,98587,94368,93576
"Neg-2807M",111143,108519,100027,98228,98118
"Neg-PCR",23014,22458,20883,19083,19083
"NiARA",136243,132350,123464,121756,120251
"NiDS",81812,79132,72707,69884,68248
"NiUS1",53587,52184,47039,45352,45265
"ReARA",94764,90506,82254,77708,70910
"ReDS",111260,106917,97797,91049,87388
"ReUS1",87111,83775,76690,72918,71596
"ReUS2",98803,94900,87129,83303,82100
"RomARA",81690,79343,69592,67079,65313
"RomDS",112062,109426,99026,97056,96895
"RomUS1",182907,178925,161680,155886,155176
"RomUS2",115492,111386,91347,87615,87434
"RotARA",140862,137951,128464,119637,119498
"RotDS",144573,141737,131040,127415,127074
"RotUS1",69410,67983,60543,57351,54367
"RotUS2",117761,115260,104664,100592,89831
"SeARA",101440,98896,92496,91706,90815
"SeDS",80669,78763,72855,72042,71865
"SeUS1",164306,161232,149028,144918,144029
"SeUS2",125058,121958,109399,99017,97007
"UnARA",129161,125179,115725,113480,111810
"UnDS",88004,85405,79648,76238,75349
"UnUS1",90984,88532,82127,80449,79807
"UnUS2",610288,591192,550245,529609,508733
"VaARA",52764,51443,47869,46491,46113
"VaDS",61380,59873,55495,53682,53617
"VaUS1",178685,173733,159379,155739,154631
"VaUS2",85199,82318,75350,71264,68957
"ViARA",70947,69253,62874,61812,60879
"ViDS",74112,72047,67283,65730,64566
"ViUS1",25975,25336,23208,21581,20873
"ViUS2",40754,39670,36647,35970,35250
"ZuARA",87053,84384,77799,74491,73963
"ZuDS",87045,84366,76870,71668,71363
"ZuUS1",76324,74450,69209,65327,61246
"ZuUS2",49426,47146,44594,43856,41370
