Family,Kicknet,Ref_G,eDNA_leray,eDNA_leese
PORIFERA,FALSE,TRUE,TRUE,TRUE
CNIDARIA,TRUE,TRUE,TRUE,FALSE
BRYOZOA,TRUE,TRUE,TRUE,TRUE
Dendrocoelidae,TRUE,FALSE,FALSE,FALSE
Dugesiidae,TRUE,TRUE,TRUE,FALSE
Planariidae,TRUE,TRUE,FALSE,FALSE
NEMATHELMINTHES,TRUE,TRUE,TRUE,TRUE
Erpobdellidae,TRUE,TRUE,TRUE,TRUE
Glossiphoniidae,TRUE,TRUE,TRUE,TRUE
Hirudidae,FALSE,FALSE,FALSE,FALSE
Piscicolidae,TRUE,TRUE,FALSE,FALSE
Oligochaeta,TRUE,TRUE,TRUE,TRUE
Acroloxidae,FALSE,TRUE,FALSE,FALSE
Ancylidae,TRUE,TRUE,TRUE,FALSE
Bithyniidae,FALSE,TRUE,FALSE,FALSE
Ferrissiidae,FALSE,FALSE,FALSE,FALSE
Hydrobiidae,TRUE,FALSE,TRUE,FALSE
Lymnaeidae,TRUE,TRUE,TRUE,TRUE
Neritidae,FALSE,TRUE,FALSE,FALSE
Physidae,TRUE,TRUE,TRUE,TRUE
Planorbidae,TRUE,TRUE,FALSE,FALSE
Valvatidae,TRUE,FALSE,FALSE,FALSE
Viviparidae,FALSE,FALSE,FALSE,FALSE
Corbiculidae,TRUE,TRUE,FALSE,FALSE
Dreissenidae,FALSE,TRUE,FALSE,FALSE
Sphaeriidae,TRUE,TRUE,TRUE,FALSE
Unionidae,FALSE,TRUE,FALSE,TRUE
Hydracarina,TRUE,FALSE,FALSE,FALSE
Branchiopoda,FALSE,TRUE,FALSE,TRUE
Corophiidae,FALSE,TRUE,FALSE,FALSE
Gammaridae,TRUE,TRUE,TRUE,FALSE
Niphargidae,FALSE,TRUE,FALSE,FALSE
Asellidae,TRUE,TRUE,TRUE,FALSE
Janiridae,FALSE,TRUE,FALSE,FALSE
Mysidae,FALSE,TRUE,FALSE,FALSE
Astacidae,FALSE,TRUE,FALSE,TRUE
Cambaridae,FALSE,TRUE,FALSE,FALSE
Ameletidae,FALSE,TRUE,FALSE,FALSE
Baetidae,TRUE,TRUE,TRUE,TRUE
Caenidae,TRUE,TRUE,FALSE,TRUE
Ephemerellidae,TRUE,TRUE,TRUE,TRUE
Ephemeridae,TRUE,TRUE,FALSE,TRUE
Heptageniidae,TRUE,TRUE,TRUE,TRUE
Leptophlebiidae,TRUE,TRUE,TRUE,TRUE
Oligoneuriidae,FALSE,TRUE,FALSE,FALSE
Polymitarcyidae,FALSE,TRUE,FALSE,FALSE
Potamanthidae,FALSE,TRUE,FALSE,FALSE
Siphlonuridae,TRUE,TRUE,FALSE,TRUE
Aeshnidae,FALSE,TRUE,FALSE,FALSE
Calopterygidae,TRUE,TRUE,TRUE,FALSE
Coenagrionidae,TRUE,TRUE,FALSE,FALSE
Cordulegastridae,FALSE,TRUE,FALSE,FALSE
Corduliidae,TRUE,TRUE,FALSE,FALSE
Gomphidae,TRUE,TRUE,FALSE,FALSE
Lestidae,TRUE,TRUE,FALSE,FALSE
Libellulidae,FALSE,TRUE,FALSE,FALSE
Platycnemididae,FALSE,TRUE,FALSE,FALSE
Capniidae,TRUE,TRUE,TRUE,TRUE
Chloroperlidae,TRUE,TRUE,FALSE,FALSE
Leuctridae,TRUE,TRUE,TRUE,TRUE
Nemouridae,TRUE,TRUE,TRUE,TRUE
Perlidae,TRUE,TRUE,FALSE,FALSE
Perlodidae,TRUE,TRUE,TRUE,TRUE
Taeniopterygidae,TRUE,TRUE,TRUE,FALSE
Aphelocheiridae,TRUE,TRUE,FALSE,FALSE
Corixidae,TRUE,TRUE,FALSE,FALSE
Gerridae,TRUE,TRUE,FALSE,FALSE
Hebridae,FALSE,TRUE,FALSE,FALSE
Hydrometridae,FALSE,TRUE,FALSE,FALSE
Mesoveliidae,TRUE,TRUE,FALSE,FALSE
Naucoridae,FALSE,TRUE,FALSE,FALSE
Nepidae,FALSE,TRUE,FALSE,FALSE
Notonectidae,FALSE,TRUE,FALSE,FALSE
Pleidae,FALSE,TRUE,FALSE,FALSE
Veliidae,TRUE,TRUE,FALSE,FALSE
Sialidae,TRUE,TRUE,TRUE,TRUE
Osmylidae,FALSE,TRUE,FALSE,FALSE
Sisyridae,FALSE,TRUE,FALSE,FALSE
Curculionidae,FALSE,TRUE,TRUE,FALSE
Chrysomelidae,FALSE,TRUE,TRUE,TRUE
Dryopidae,TRUE,TRUE,FALSE,FALSE
Dytiscidae,TRUE,TRUE,TRUE,TRUE
Elmidae,TRUE,TRUE,TRUE,TRUE
Gyrinidae,TRUE,TRUE,FALSE,FALSE
Haliplidae,TRUE,TRUE,FALSE,FALSE
