Species,CH_list,Kicknet,Ref_G,eDNA_leray,eDNA_leese
Ameletus inopinatus,TRUE,FALSE,TRUE,FALSE,FALSE
Metreletus balcanicus,TRUE,FALSE,TRUE,FALSE,FALSE
Acentrella sinaica,TRUE,FALSE,TRUE,FALSE,FALSE
Alainites muticus,TRUE,TRUE,TRUE,FALSE,FALSE
Baetis alpinus,TRUE,TRUE,TRUE,FALSE,TRUE
Baetis buceratus,TRUE,TRUE,TRUE,FALSE,FALSE
Baetis fuscatus complex,TRUE,TRUE,TRUE,FALSE,TRUE
Baetis liebenauae,TRUE,FALSE,TRUE,FALSE,FALSE
Baetis lutheri complex,TRUE,TRUE,TRUE,TRUE,TRUE
Baetis melanonyx,TRUE,FALSE,TRUE,FALSE,FALSE
Baetis nubecularis,TRUE,FALSE,FALSE,FALSE,FALSE
Baetis pentaphlebodes,TRUE,TRUE,FALSE,FALSE,FALSE
Baetis rhodani,TRUE,TRUE,TRUE,TRUE,TRUE
Baetis vernus,TRUE,TRUE,TRUE,FALSE,TRUE
Centroptilum luteolum,TRUE,TRUE,TRUE,FALSE,FALSE
Cloeon dipterum,TRUE,TRUE,TRUE,FALSE,TRUE
Cloeon simile,TRUE,FALSE,TRUE,FALSE,FALSE
Nigrobaetis niger,TRUE,FALSE,TRUE,FALSE,FALSE
Procloeon bifidum,TRUE,FALSE,TRUE,FALSE,FALSE
Procloeon pennulatum,TRUE,FALSE,TRUE,FALSE,FALSE
Caenis beskidensis,TRUE,FALSE,TRUE,FALSE,FALSE
Caenis horaria,TRUE,TRUE,TRUE,FALSE,TRUE
Caenis lactea,TRUE,FALSE,TRUE,FALSE,FALSE
Caenis luctuosa,TRUE,TRUE,TRUE,FALSE,FALSE
Caenis macrura,TRUE,TRUE,TRUE,FALSE,FALSE
Caenis pusilla,TRUE,FALSE,TRUE,FALSE,FALSE
Caenis rivulorum,TRUE,FALSE,TRUE,FALSE,FALSE
Caenis robusta,TRUE,FALSE,TRUE,FALSE,FALSE
Ephemerella mucronata,TRUE,TRUE,TRUE,FALSE,FALSE
Ephemerella notata,TRUE,FALSE,TRUE,FALSE,FALSE
Serratella ignita,TRUE,TRUE,TRUE,TRUE,TRUE
Torleya major,TRUE,TRUE,TRUE,FALSE,FALSE
Ephemera danica,TRUE,TRUE,TRUE,FALSE,TRUE
Ephemera glaucops,TRUE,FALSE,TRUE,FALSE,FALSE
Ephemera lineata,TRUE,FALSE,FALSE,FALSE,FALSE
Ephemera vulgata,TRUE,FALSE,TRUE,FALSE,FALSE
Ecdyonurus helveticus complex,TRUE,TRUE,TRUE,TRUE,TRUE
Ecdyonurus venosus complex,TRUE,TRUE,TRUE,TRUE,TRUE
Electrogena lateralis,TRUE,FALSE,TRUE,FALSE,FALSE
Electrogena ujhelyii,TRUE,TRUE,TRUE,FALSE,FALSE
Epeorus alpicola,TRUE,FALSE,TRUE,FALSE,FALSE
